"ID","Name","Rating","Degree","Specialization","Review_Date","Review_Text","Word_Count","Sentiment_Label","Sentiment_Score"
425,"Fathima",4.1,"B.Tech","Computer Science and Engineering","2024-08-21","The infrastructure is bit incomplete and the hostels are not in a very good condition  I like the college campus and Greenery  everywhere  Hostels are also good 👍 nice infrastructure ",30,"Positive",2
426,"vidhya",3.5,"B.Tech","Electronics & Communication Engineering","2024-08-20","The college is little strict and they high fees for any punishment  VIT has good infrastruture and opportunities. It is equipped with best campus and great cultural events like vibrance, technovit etc and hands on experience in areas like ai and robotics  There are various clubs in VIT chennai, which help you to improve social interactions and find time to do other things outside of academics",66,"Positive",2.7
427,"PRASHANT",5,"B.Tech","Electronics & Communication Engineering","2024-08-18","Most of the faculty in vit chennai are experienced and have great competence in the subject they teach But during first year they might force you to do a lot of stuff at the same time and the pressure might be a bit more for you The hostel food i not upto the quality and many hostellers have complained so.",60,"Neutral",1.3
428,"Ish Venaik",2.9,"M.Sc","Data Science","2024-08-16","The gender ratio for girls is less compared to boys Our campus has ffcs which stands for fully flexible credit system through which we can design our own degree  Our campus is completely ragging free and anything of such may lead him to suspension of 1 semester",47,"Positive",2.3
429,"Manan jadam",3.6,"B.Tech","Computer Science and Engineering","2024-08-15","The boys to girls ratio is almost 1:1 in our campus Campus is so far from any near town which makes it difficult to reach campus Campus usually starts late for first year students when compared to other vit campuses and to cover this holidays are reduced and the syllabus is rushed in the first yeat",56,"Negative",1
430,"Rinaazunnisa",4.1,"B.Tech","Computer Science and Engineering","2024-08-15","VIT hosts a diverse student population from all over India and beyond. This brings exposure to different cultures, perspectives, and languages, enriching the campus experience Many faculty members are highly qualified, often with industry experience or significant academic credentials. They focus on practical applications and skill-building, which is appreciated by students Ffcs system: It is the program that is we should select our faculty and slot timings we think it is good but it is very tough",77,"Positive",3.3
431,"Tanmoy Goswami",3.3,"B.Tech","Electronics & Communication Engineering","2024-08-14","Rooms counseling: Rooms are alloted on the based of cgpa ,if our cgpa is low then there is a chance to get non AC block it is too hot here and if we get non AC it is very hard to live here Design your own degree programme helps to choose the career path Course registration like choosimg faculty and courses. ",61,"Positive",1.7
432,"krish",4.9,"B.Tech","Computer Science and Engineering","2024-08-12","The quality of the infrastructure, including campus amenities and learning facilities is so good.  the placement services and the support provided for career advancement is way poor.  engagement with campus life and the quality of social interactions is poor. ",39,"Positive",1.7
433,"Anonymous",3.8,"B.Tech","Electronics & Computer Engineering","2024-08-12","Dealing with faculties will be quite hard.  The Campus is absolutely beautiful ~400 acres of campus size with lush green trees and engaging life of clubs and events happening on daily basis makes your campus life better eventually you'll start loving campus more than your home! Faculty over here in VIT is top notch completed their education from top institutions around the globe and there are many research scholars under them too + the material they provide PPTs and PDFs of modules are decent ",84,"Positive",3.3
434,"Anonymous",3.8,"B.Tech","Computer Science and Engineering","2024-08-12","Since it's November while am writing this review placement season is on even during the recession in tech market around the world still placements are happening decently good if you are skilled enough with good cgpa maintained you won't find it tough VIT is known for restrictions which initially make us feel as if we are trapped but later you get used to it freshers are not allowed to go out of campus without proper permission for first 3 months City Vellore is not that great in terms of city life and food but once you start exploring you'll find good options to hangout with friends",106,"Positive",2.7
435,"Varshini",3.4,"BCA","General","2024-08-11","Hostels are top notch but the food is not that great hostel food is average (again I don't like it but few of my friends are happy with it) One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc",131,"Positive",2.3
436,"SUBHANKAR HALDER",4.8,"B.Tech","Fashion Technology","2024-08-10","Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech",71,"Positive",1.7
437,"Nithya Shree",4.1,"B.Tech","Computer Science and Engineering","2024-08-10","Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des Most of teachers are good. They also have 100% doctoral faculty There is no ragging in the hostel even my roommate is my senior ",40,"Neutral",1.3
438,"Hitesh Sharma",3.6,"B.Tech","Computer Science and Engineering","2024-08-10","Very good course structure and facility of FFCS Construction work is still going so a bit problematic  Most of classes are Non AC so harder to attend lectures ",28,"Positive",1.7
439,"Borole Mayur Sandip",4.5,"B.Tech","Computer Science and Engineering","2024-08-08","Hostels to Academic block distance is approx is 2 km and no shuttle buses for students  Modern infrastructure like lab and research facilities  Innovation in every curriculum, eco friendly campus with amenities like libraries, sport complex and etc",38,"Positive",2.3
440,"Priyansh Kumar Singh",4,"B.Tech","Computer Science and Engineering","2024-08-07","Phd faculty with strong academic and industrial backgrounds Remote location: located far from major city Bhopal or Indore It take much time to travel from city to college we have travel by bus or cabs",35,"Positive",1.7
441,"Pranav Sharma",3.9,"B.Tech","Biomedical Engineering","2024-08-07","High costs compared to basics : students get scholarships in vit through VITEEE exams, we get category 1,2,3,4,5 in which category 1 students fees is 200000 and category 2 students fees is 300000 and increases by  The level of technology they have inside the campus is really great  The greenery spread across the campus is good sight",57,"Positive",2
442,"Anonymous",3.5,"B.Tech","Computer Science and Engineering","2024-08-05","The cultural fest is a must to go event in the world The student strength is too much for an average college The amount of pressure per student is tremeoundous",30,"Neutral",1.3
443,"Kevin Luke Mathew",3.6,"B.Tech + M.Tech","Software Engineering","2024-08-04","The rules inside the college regarding the hostel people is too much I like Campus size. its huge 110 acres campus and green over the campus  with proper shelters over footpaths for students to transport from heir hostel blocks to college block There are enough sources for students to do their projects or increase their learning efficiency.",57,"Positive",2.3
444,"Sanjana Dhanasekar",3.6,"B.Tech","Computer Science and Engineering","2024-08-04","high on exposure for students great opportunities and lots of placements  Faculty is very bad. even for first year their negligency fears us.  Crowded class rooms and old buildings. Infra for old buildings is very bad",36,"Negative",0.7
445,"Likith chowdary",4.3,"B.Tech","Computer Science and Engineering","2024-08-03","The first thing that I liked is the good infrastructure that VIT-AP has provided, good and well ventilated labs and classrooms. A good overall crowd. VIT has students from all corners of India, making it an emersive experience. Friendly people and staff. They help you alot and will keep helping for the next four years of your college.",58,"Positive",3
446,"Prathamshree Kumar",2.9,"B.Tech","Gaming Technology","2024-08-01","Very rigorous time table. We have so many subjects and so many classes somedays that you feel very tired and fatigue , leaving no time for your extra curricular activities. Language barrier. As I am a north indian , I sometimes find very hard to communicate with security guards and the mess people as they don't understand English and I can't speak Telugu , leaving no common link of communication. Very strict rules and policies. VIT has a lot of rules and regulations which you have to follow or otherwise you will get a big fine that you have to pay no matter what.",104,"Negative",0
447,"Atharv Roshan Shah",4.3,"B.Tech","Computer Science and Engineering","2024-07-31","student safety is taken seriously at all times sports facilities are fantastic at all times clubs are amazing and cultural events are the best",24,"Positive",2.3
448,"NEER MALIK",4.2,"B.Tech","Cyber Security and Digital Forensics","2024-07-30","hostel facilities are worse. complaints aren't taken seriously the examination system is ridiculous. 3 times in a sem courses are a bit tough. and classes are hectic",27,"Negative",0.3
449,"Goutham Krishna",4.3,"B.Tech","Computer Science and Engineering","2024-07-30","the exposure is really great, people from different part of the country come here to peruse their courses. Mixing with different people gives us exposure to their knowledge and we can share our thoughts with them , gain knowledge etc. Faculties really want the best of students future, they work really hard and provide quality education . Campus is really enjoyable and spending time is a joy here.",68,"Positive",3
450,"Devansh Behl",4.8,"B.Tech","Computer Science and Business Systems","2024-07-29","competition is a bit more here but after all we have to work hard so it's fine over time. The environmental here and the infrastructure that is way too amazing with an acre of more than 200 acres  Library with all kind of Books and the Indian's biggest book is found here. We can study peacefully with AC and borrow books here or download their E-Books. We have an option for both. This is amazing ",75,"Positive",2.3
451,"Nishanth J",3.5,"B.Tech","Computer Science and Engineering","2024-07-29","The faculty and their interaction. We are given faulty details like their cabin and staff room, with room number and details in their App. So it is easy to find them. And the faculties are soo good. They solve our problems within the day. The washrooms in SJT which is an academic block, was disgusting. But now they have constructed new onces recently. The restrictions girls have here. We are allowed to go out only for 2 hours and on holidays for 4 hours. The security guards are also strict. ",90,"Negative",1
452,"Depangi Suresh",4.8,"B.Tech","Computer Science and Engineering","2024-07-28","All the akkas, the people working in the hostel know only tamil and not hindi. So language is a problem here. It is difficult to speak to them and understand them if we have any work Good Infrastructure, neat class rooms with good fan and lights Restrooms are clean and neat, flushable and cleaning often results neat restrooms",58,"Positive",2
453,"Tridip Lala",3.6,"B.Tech","Computer Science and Engineering","2024-07-28","FFCS system, which is the system which allow us to select the faculty and slots which allocated for us which will be selected on out convinces Too much crowd, always being in a rush to toilets, lifts and biometric Inside the Campus all the shops are expensive. DC named restaurant which is too costly and they have expired cakes...",59,"Negative",0.3
454,"TALLAPALLI HEMANTH",3,"B.Tech","Computer Science and Engineering","2024-07-26","One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech",139,"Neutral",1.3
455,"Jaivardhan",4.9,"MCA","Core","2024-07-24","I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des",50,"Neutral",1.3
456,"Teerath",3.9,"B.Tech","Computer Science and Engineering","2024-07-23","Academic facilities are really good here. You get plenty of course options to choose with and the faculty is also top notch most of them come from good college like nit or iits Clubs and Societies play a big part in this college you'll see multiple events and parties throughout the year in this college. Infrastructure is new and great nothing like old govt colleges every thing is modern architecture and the campus is lush green",76,"Positive",3.3
457,"snehanshu chakraborty",3.8,"B.Tech","Computer Science and Engineering","2024-07-22","Strictness is something you'll struggle with at vit ap in including gaurds, cctv cameras, In and out timings in hostels and restrictions over outings. infrastructure is very nice of this collage.that include varietyn of accomodation sports facility is also provided here both free and paid facilities are there.",48,"Positive",1.7
458,"Naman B",3.4,"B.Tech","Computer Science and Engineering","2024-07-22","library is nice with plenty of book to be issued and can take to hostel the campus is very crowded as per its size of campus  north Indian student might have difficulty if their english is not that good",39,"Neutral",1.3
459,"VARRE RAJU",4.6,"B.Tech","Computer Science and Engineering","2024-07-22","the campus is slightly costly as per the rate of city but outside the campus it is good inly Cultural clubs and social clubs are most interesting to participate and socialize with others  Faculties are helping and if you are good in studies definitely they are going to help you alot.",51,"Positive",2
460,"Mitul",3.8,"B.Tech","Healthcare Informatics","2024-07-17","Library is good . There place like gazibo, north square, clock court and gym khana to eat and sit. 75% attendance policy is not good. They consider you on leave only when you are admitted to hospital, otherwise you are marked absent. Exams and quizzes are conducted frequently. So many assignments are given every week.",55,"Positive",2
461,"NEEHARIKA NIROUP GUPTA",4.4,"B.Tech","Electronics & Communication Engineering","2024-07-16","50% marks required to pass the semester. Cleanliness, except few places... Other places are well cleaned and maintained by respective staffs Safe and secure. Guards are everywhere in and around in VIT , so no worries about safety measurement",39,"Positive",2.3
462,"Diya Raghuvanshi",3.6,"B.Tech","Information Technology","2024-07-15","Ragging free community. Seniors are welcoming junior by conducting various cultural events Crowd. No matter whether it's Sunday or Monday... Student and scholar are everywhere. If it's a exam time, you will see mini T.nagar (Chennai) here. Outing issue. We girls are allowed only for 2 hours outing in weekdays and 4 hours outing in weekend. But for boys, no limiting hours for outing. Their outing starts from morning 7 am to night 9 pm",75,"Neutral",1.3
463,"Malvika Sinha",2.7,"B.Tech","Computer Science and Engineering","2024-07-11","Not having a good bond between professor and students. They come, teach and leave. That's it It's pleasant with the environment with every step you take Trees and greeneries everywhere you keep your eyes on ",35,"Positive",2
464,"moksh doshi",4.7,"B.Tech","Electronics & Communication Engineering","2024-07-10","Tidy and good maintained places including roads Too crowded for a place like this college Buildings are getting old , and the renovation works are slow",26,"Positive",2
465,"Parth Jain",3.9,"B.Tech","Computer Science and Engineering","2024-07-09","As constructions are going everywhere , the place seems polluted The faculty at VIT Bhopal are knowledgeable and dedicated especially in specialized fields like cyber security and AIML. They make an effort to ensure students understand the subjects well. I've formed a strong, close group of friends here, which has made my college life more enjoyable. ",56,"Positive",3.3
466,"Akarsh jain",4.2,"B.Tech","Computer Science and Engineering","2024-07-08","VIT Bhopal has a good track for placements with several companies visiting the campus. The placement cell actively helps students prepare, offer training and resources.  The college is located a bit far from the main city, which can be inconvenient for students who want to explore or need access to city facilities. While the hostel food is decent, there are times when the quality could be better. It's not uncommon to hear students wishing for more variety of foods.",79,"Positive",2.7
467,"Khushi Tripathi",4.1,"B.Tech","Electrical And Electronics Engineering","2024-07-06","The university enforces strict rules regarding hostel timings and attendance, which could be an improvement if attendance wasn't that important. Firstly I like the campus’s architecture and all the hangout spots inside vit Second I like how students from different parts of the world socialise and interact and engage so vibrantly.",51,"Positive",2.3
468,"Vardaan Narang",3.7,"B.Tech","Computer Science and Engineering","2024-07-05","Lastly I like the faculties here in vit. I don’t like how the student and faculty ratio is 60-40 I also feel that since 30000 plus students study here , individuality is less.",33,"Positive",1.7
469,"Ann maria",3.2,"B.Tech","Computer Science and Engineering","2024-07-03","Lastly I don’t like the timings of the college. One day it is 8 am and other day it is at 2pm The first thing that impressed me in my college is the campus and its environment. VIT had one of the best campus atmosphere with many really good architecture and vibrant facilities. The second thing is the the amount of clubs and chapters available for students to participate. The college always looks so engaging so that every student can show their own talent and excel in it.",88,"Positive",4.3
470,"Divyansh Khanna",2.6,"B.Tech","Computer Science and Engineering","2024-07-03","Lastly the faculties. They the pillars for real. I know no faculty who has been not approachable throughout my college life. Mostly all of the professors hold solid academic credentials which makes the quality of the teaching amazing. The amount of students in the university still scares me , there are 30000 plus students studying in vit vellore alone which I feel will make the hidden talents of many stay hidden. The faculty and student ratio also is bad. Which leads to larger class sizes which again affect the personalised attention to each and every student.",96,"Positive",2.3
471,"Manideep",3.6,"B.Tech","Computer Science and Engineering","2024-07-02","Lastly the girls-to-boys ratio, it is roughly 40:60, boys being the highest . This imbalance can be easily noticed while someone enters the college itself. College often host various students clubs like literary , cultural, technology and community services clubs that give students a chance to explore interest outside their curriculum such engagement enhance creative teamwork and leadership  Regular sports tournament festival and social gatherings promotion a community among students breaking their monotony of academic and creating a balanced environment ",80,"Positive",1.7
472,"Sriram",4.1,"B.Tech","Computer Science and Engineering","2024-07-01","Effective placement have established strong ties industry leader leading to high placement rates and attractive salary packages for students  Limited resources or inadequate academic support can leave students without the guidance they need leading the guidance they need leading to lower academic performance  Rigid course structure can limit students ability to explore their interest or pursue electives which can hinder holistic development and career readiness ",65,"Positive",1.7
473,"DIVYA PRAKASH",4.9,"B.Tech","Cyber Physical Systems","2024-06-28","Not all college priorities community engagement which can reduce students exposure to real world challenge and limit the development of their social and ethical awareness  The study environment is good and competetive.  The seniors are good and helping in nature",40,"Positive",2
474,"Druva kumar Reddy Muga Venkata",3.7,"B.Tech","Computer Science and Engineering","2024-06-28","The teaching techniques of the faculties is good The college still has some infrastructural work going on One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech",66,"Positive",2.7
475,"Anonymous",3.5,"B.Tech","Computer Science and Engineering","2024-06-28","FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA",105,"Negative",1
476,"T SRI HARSHA",4.3,"B.Tech","Computer Science and Engineering","2024-06-28","Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des Study culture:Every student is studying something and they're keeping themselves busy in studies while also doing other curriculum activities",54,"Negative",1
477,"Anonymous",3.8,"B.Tech","Computer Science and Engineering","2024-06-26","Good and friendly seniors:Seniors are mostly very supporting and helpful which is very rare Good batchmates:Most of the batchmates are not self centred but instead they are very helpful Hostle management:Some unnecessary rules are there but the strictness is maintained but there are many unnecessary rules",46,"Positive",2.3
478,"Anonymous",4.3,"B.Tech","Computer Science and Engineering","2024-06-25","Distance between hostel and main college building:The distance between main college building and hostel is very far it is almost 2 km so going to do class and coming back is very tiring and frustrating There are many clubs and chapters in VIT where you will get chance to take part them and also increase your i=network which will definitely help you in future Talking about academics , so you will get lot of chance if you are interested in research ,you will get funds from VIT.",87,"Negative",0.7
479,"Siddhardh Kattamuri",4.5,"B.Tech","Computer Science and Engineering","2024-06-25","The best thing is ffcs which stands for fully flexible credit system by which you can create your own time table and also choose faculty under whom you want to complete a specific course. There are many exams happening in VIT so you will get less time to focus on extra things like development , or any field whom you are interested and want to do. There are many restrictions in VIT like you have to come before 7 pm in VIT if you are girl and has to enter before 9 pm if you are a boy.",98,"Positive",2.3
480,"Yashasvi Verma",4.6,"B.Tech","Mechatronics & Automation Engineering","2024-06-23","Even you can't go to your friends hostel after 9pm The first thing I liked is the syllabus of the course which is easy to study. And the syllabus is very relevant for the future  The second thing is the infrastructure of the college they provide variety of amenities like free wifi they also provide laptop for students via scholarship ",60,"Positive",3
481,"BONGI SURYA MANI",3.9,"B.Tech","Computer Science and Engineering","2024-06-21","The faculty are also very friendly they are expert teachers with good helping mentality  Things I disliked is the hostel food Some of the students doesn't like the hostel food but for me it is ok The second thing is most of the building in the campus are bit older.",50,"Positive",2.3
482,"Darshan S",3.6,"B.Tech","Computer Science and Engineering","2024-06-21","Social activities in this campus is below average compared to other campuses campus has lush-green environment and it has very much peaceful and much less disturbance compared to urban areas. campus is good and hostel are too good along with 24/7 security and cold and hot water supply. infrastructure is excellent and faculty are very much experienced as they are IITIAN'S they are calm and supportive. the canteen is very nice and you can enjoy every type of meal and it is pocket friendly.",84,"Positive",4
483,"Swapnil prakash",4,"B.Tech","Artificial Intelligence & Machine Learning","2024-06-19","here you can interact with every people of india as students belong to different cultural background and cities helps you to develop socially. most of the things i liked and are matching my expectations but mess food is somewhat messy. as the campus is in remote area the weather condition is unpredictable which makes you sometimes tired .",58,"Negative",0.3
484,"Prem",4.1,"B.Tech","Computer Science and Engineering","2024-06-18","somewhat it the university lacks in sports facilities but it is trying to improve day by day as more students are coming. The class romm they provide a goog space  Nice canteen and foid for students in the college ",39,"Positive",1.7
485,"SRIJANA SINGH",4.1,"B.Tech","Electronics & Communication Engineering","2024-06-17","Good faculty o all of them have doctorate and have a great interaction. The distance between hostel and collage is far  Not a good city near from the collage ..",30,"Positive",2
486,"Puvvada Devesh Chowdary",3.6,"B.Tech","Computer Science and Engineering","2024-06-17","The hostel wifi sime times it goes down and but it come back  Academic block is really good and amazing  Infrastructure is so good and awesome for students",28,"Positive",2.3
487,"Sanah",4.6,"B.Tech","Computer Science and Engineering","2024-06-17","Class rooms are really neat and gives good ambience Academic block is really far from hostel  All buildings havent been fully built yet",23,"Positive",2
488,"Rithik Bala",4.4,"B.Tech","Computer Science and Engineering","2024-06-17","Class rooms are so big,Teachers wont use mic , so we cannot hear everything clearly Veey good and experienced teachers. New types of studying. very modern type",27,"Positive",2.3
489,"LAHARI VANJA",4,"B.Tech","Computer Science and Engineering","2024-06-16","Classes are so clean and nice. well designed Outings are very less compared to other colleges Vacations are too short to go to hometown",24,"Positive",2.3
490,"pulkit maheshwari",4.2,"B.Tech","Computer Science and Engineering","2024-06-15","Classes are very far from hostel.we get tired by reaching there CAMPUS INFRASTRUCTURE IS GOOD  LOCATED IN THE MID OF FIELDS. FACULITIES ARE REALLY GOOD ALL HAVE GAINED THEIR DOCTRATES IN THEIR SUBJECT.",33,"Positive",1.7
491,"Revanth Srinivasa Reddy",4.1,"B.Tech","Artificial Intelligence & Machine Learning","2024-06-15","THERE ARE MANY REGIONAL AND NON- REGIONAL CLUBS WHICH HELPS TO INCREASE CONFIDENCE AND DEVELOP SKILLS. OUTINGS ARE LESS AS WE  ONLY HAVE ONE OUTING IN A MONTH. LEAVES / VACATIONS ARE REALLY VERY LESS.       ",35,"Positive",1.7
492,"Sukitha Kothuru",4.1,"B.Tech","Computer Science and Engineering","2024-06-15","The infrastructure and the campus is beautiful and very well maintained  Faculty although some are not that good most of them are really really good Mixed cultures make it easier to have nice exposure ",34,"Positive",3
493,"Sri Ragavendra",4.6,"B.Sc","Computer Science","2024-06-15","The price for stuff inside the college are kinda on the expensive side  The wifi system for students are slow and mostly dont even work The mess food is not that good for the price we are paying ",38,"Negative",1
494,"Anonymous",3.9,"B.Tech","Computer Science and Engineering","2024-06-15","Infrastructure, very highly maintained campus Food in the mess is very good unlike other colleges All good doctorate faculties, they help you well during semester exams",26,"Positive",1.7
495,"Madhu Kiran",3.6,"B.Tech","Computer Science and Engineering","2024-06-15","Network connections are not bad but can be troublesome sometimes Canteen food prices are a bit on the higher sides but atill if you can pay it's good The distance of boys hostel to academic block is too much so one can consider keeping a bicycle ",46,"Negative",1
496,"Anonymous",4.3,"B.Tech","Computer Science and Engineering","2024-06-14","One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech",139,"Neutral",1.3
497,"MedaVenkataNagaHemanth Kumar",4.8,"B.Tech","Mechanical Engineering","2024-06-14","I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des",50,"Neutral",1.3
498,"Bhavya",3.9,"B.Sc + M.Sc","Computational Statistics and Data Analytics","2024-06-14","Ffcs system is good u can choose techer and timming  You can add or remove course in your branch  No ragging and senior are frank with you ",27,"Positive",1.7
499,"Shubham Sharad Chemate",4.3,"B.Tech","Computer Science and Engineering","2024-06-14","Poor infrasture building are still in construction  Lrge no. Of assignment is given in clg and work load Less holidays and more no. Of tasks and work",27,"Neutral",1.3
500,"Anonymous",3.7,"B.Tech","Computer Science and Engineering","2024-06-13","The best thing about the VIT Bhopal University is the diversity in the courses and structures. A very diverse environment in a field, enables students with different likes and dislikes, to select courses based on their own characteristic features. The diversity also gets reflected when we talk about the students. Students from different part of India with different economical and cultural backgrounds are found under the same shed. The lush green campus ensures the good health of the beings residing in the University.",83,"Positive",2.7
501,"Tushar kumar Singh",3.6,"B.Tech","Computer Science and Engineering","2024-06-13","Sometimes the paper checking and grading system is too strict. Good amenities and clean campus . Faculties are good Hostel has everything needed for day to day activities including sports and gym",32,"Positive",1.7
502,"Aditya sharma",3.7,"B.Tech","Computer Science and Engineering","2024-06-13","Labs are well equipped with good technology  Lab staff only speak in Tamil and broken english so it is hard to understand  Washroom in hostels are pretty dirty compared to academic blocks",32,"Neutral",1.3
503,"Anonymous",4.1,"B.Sc","Computer Science","2024-06-12","Have to travel long distances to take different classes university's emphasis on innovation , particularly in engineering curriculum is appreciable. Faculty members are knowledgeable and dedicated , often incorporating real world applications into lessons and offering mentorship outside the classroom.",40,"Positive",2.7
504,"Ananjay Thakur",3.7,"B.Tech","Artificial Intelligence & Machine Learning","2024-06-12","campus life is vibrant , with active clubs and frequents events that provide a great balance to academics. The girls-to-boys ratio could be more balanced , it's approximately 1:3 , which is common in many engineering colleges. The labs could be better equipped to support cutting edge research.",48,"Positive",3
505,"RIDDHISH GUPTA",4.1,"B.Tech","Computer Science and Engineering","2024-06-10","The campus is quite congested and sometimes not a pleasant experience due to noise and blockages because of construction Teachers teaches to the point and it's understandable too Building infrastructure is nice, but no AC, like with the fees this is really a big issue",45,"Positive",1.7
506,"Madav",3.6,"B.Tech","Electronics & Communication Engineering","2024-06-10","Lot of work to do, but it's exciting to do. Hostel management, the management team is not supportive  Student tends to be friendly but they are not",27,"Positive",2.7
507,"Medha Mansi",3.4,"B.Tech","Computer Science and Engineering","2024-06-09","Lot of crowd, like literally soo many student Availablity of Amazon & Flipkart or other stuffs Good Faculties and Fine Subjects curriculum",22,"Positive",2.3
508,"Kavimalar S",4.1,"B.Tech","Computer Science and Engineering","2024-06-08","Variety of people so that you can find friends similar as your vibe Not much appealing infrastructure wayy too small No such Dedicated football or cricket ground",27,"Positive",2.3
509,"KANURI TAGORE SAI",4.6,"B.Tech","Computer Science and Business Systems","2024-06-07","Very less campus area , not as mentioned in their official site. The campus is very big, eco-friendly and greate infrastructure  The placements are very good and high chances of getting placed",32,"Positive",2
510,"AJITHA",4.1,"B.Tech","Electronics & Communication Engineering","2024-06-06","All the trainings are very clear and motivating Some students bully other students and create problems Only some amount of staffs teaches clearly ",23,"Neutral",1.3
511,"Shubham Tiwari",4.3,"B.Tech","Computer Science and Engineering","2024-06-05","Some of lab componets were not proper and students faced difficulties  Courses that are allocated and provided to the student  Teachers and the faculty who teaches are nice",28,"Positive",1.7
512,"Rudra Pratap Singh",4.7,"B.Tech","Mechanical Engineering","2024-06-05","Good infrastructure even though its populated there is still space Overpopulation and competition is huge and enviable  I really liked how there is discipline factor and almost every person is studying. The boy to girl ratio is 3:1",38,"Positive",2.3
513,"Venky S Reddy",4.6,"B.Tech","Mechanical Engineering","2024-06-05","there are awesome faculty who studied from IITs and NITS and have their Phd's completed The infrastructure is a work in progress and needs time to complete the hostels have lifts which have a problem functioning every work",38,"Positive",2
514,"Rohith Venkata Sai Sarath G",3.8,"B.Tech + M.Tech","Business Analytics","2024-06-04","the distance between boys hostel to academic block is about 20 mins i.e 1.5kms and one can only use bicycle or walk. Whereas girls take hardly 10 mins to reach academic block I like the startup pre incubation centre, its very easy to get started with I like the importance given to mental health by the college, we have many counsellors.",61,"Positive",2
515,"Rahul Kumar",4.1,"B.Tech","Computer Science and Engineering","2024-06-04","The placements are above average compared to rest of the colleges in India. The mess food is average in most of the messes, some are decent. Some faculties are very rude and straight up inhumane, dont take their classes",39,"Negative",0.3
